time,body_index,body_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.18500000,0,body1,0.00182519,0.00316132,-0.00165914,0.01963930,0.03401627,-0.02624635
0.18500000,1,body2,2.48508962,0.00298059,-0.18470033,-0.15745051,0.03028152,-0.99520771
0.18500000,2,body3,-1.23996355,2.15364103,-0.18470033,0.10494982,-0.12121538,-0.99520771
0.18500000,3,body4,-1.24603867,-2.15820228,-0.09226978,0.04268104,0.07392573,-0.49646141
0.19000000,0,body1,0.00192469,0.00333365,-0.00179374,0.02015943,0.03491715,-0.02759469
0.19000000,1,body2,2.48429270,0.00313354,-0.18967573,-0.16131161,0.03089999,-0.99495457
0.19000000,2,body3,-1.23943262,2.15302736,-0.18967573,0.10741599,-0.12424996,-0.99495457
0.19000000,3,body4,-1.24582242,-2.15782773,-0.09475167,0.04381592,0.07589139,-0.49629352
0.19500000,0,body1,0.00202678,0.00351049,-0.00193514,0.02067867,0.03581650,-0.02897029
0.19500000,1,body2,2.48347655,0.00328956,-0.19464986,-0.16514512,0.03150516,-0.99469563
0.19500000,2,body3,-1.23888943,2.15239856,-0.19464986,0.10985683,-0.12726729,-0.99469563
0.19500000,3,body4,-1.24560051,-2.15744337,-0.09723271,0.04494896,0.07785388,-0.49612359
0.20000000,0,body1,0.00213147,0.00369182,-0.00208348,0.02119700,0.03671427,-0.03037259
0.20000000,1,body2,2.48264130,0.00344857,-0.19962268,-0.16895075,0.03209697,-0.99443098
0.20000000,2,body3,-1.23833409,2.15175472,-0.19962268,0.11227217,-0.13026716,-0.99443098
0.20000000,3,body4,-1.24537294,-2.15704920,-0.09971290,0.04608009,0.07981306,-0.49595175
0.20500000,0,body1,0.00223875,0.00387763,-0.00223891,0.02171439,0.03761043,-0.03180106
0.20500000,1,body2,2.48178709,0.00361051,-0.20459416,-0.17272825,0.03267538,-0.99416066
0.20500000,2,body3,-1.23776675,2.15109592,-0.20459416,0.11466183,-0.13324936,-0.99416066
0.20500000,3,body4,-1.24513971,-2.15664524,-0.10219222,0.04720922,0.08176877,-0.49577815
0.21000000,0,body1,0.00234861,0.00406792,-0.00240154,0.02223083,0.03850492,-0.03325513
0.21000000,1,body2,2.48091406,0.00377531,-0.20956428,-0.17647737,0.03324037,-0.99388476
0.21000000,2,body3,-1.23718752,2.15042225,-0.20956428,0.11702569,-0.13621370,-0.99388476
0.21000000,3,body4,-1.24490085,-2.15623152,-0.10467068,0.04833626,0.08372086,-0.49560292
0.21500000,0,body1,0.00246106,0.00426268,-0.00257150,0.02274628,0.03939771,-0.03473426
0.21500000,1,body2,2.48002236,0.00394289,-0.21453300,-0.18019790,0.03379193,-0.99360334
0.21500000,2,body3,-1.23659654,2.14973381,-0.21453300,0.11936362,-0.13915999,-0.99360334
0.21500000,3,body4,-1.24465635,-2.15580804,-0.10714825,0.04946114,0.08566920,-0.49542619
0.22000000,0,body1,0.00257607,0.00446189,-0.00274892,0.02326072,0.04028875,-0.03623790
0.22000000,1,body2,2.47911213,0.00411320,-0.21950030,-0.18388964,0.03433006,-0.99331647
0.22000000,2,body3,-1.23599393,2.14903068,-0.21950030,0.12167553,-0.14208807,-0.99331647
0.22000000,3,body4,-1.24440624,-2.15537483,-0.10962494,0.05058375,0.08761363,-0.49524811
0.22500000,0,body1,0.00269366,0.00466556,-0.00293392,0.02377413,0.04117801,-0.03776551
0.22500000,1,body2,2.47818351,0.00428617,-0.22446616,-0.18755243,0.03485477,-0.99302422
0.22500000,2,body3,-1.23537982,2.14831296,-0.22446616,0.12396134,-0.14499778,-0.99302422
0.22500000,3,body4,-1.24415052,-2.15493191,-0.11210073,0.05170403,0.08955400,-0.49506880
0.23000000,0,body1,0.00281381,0.00487367,-0.00312661,0.02428649,0.04206543,-0.03931653
0.23000000,1,body2,2.47723665,0.00446173,-0.22943053,-0.19118611,0.03536610,-0.99272667
0.23000000,2,body3,-1.23475436,2.14758074,-0.22943054,0.12622099,-0.14788898,-0.99272667
0.23000000,3,body4,-1.24388920,-2.15447930,-0.11457562,0.05282187,0.09149016,-0.49488840
0.23500000,0,body1,0.00293653,0.00508621,-0.00332712,0.02479776,0.04295098,-0.04089045
0.23500000,1,body2,2.47627170,0.00463981,-0.23439341,-0.19479054,0.03586407,-0.99242388
0.23500000,2,body3,-1.23411766,2.14683410,-0.23439341,0.12845447,-0.15076152,-0.99242388
0.23500000,3,body4,-1.24362230,-2.15401702,-0.11704961,0.05393719,0.09342196,-0.49470702
0.24000000,0,body1,0.00306179,0.00530318,-0.00353555,0.02530793,0.04383462,-0.04248670
0.24000000,1,body2,2.47528880,0.00482035,-0.23935477,-0.19836562,0.03634874,-0.99211592
0.24000000,2,body3,-1.23346986,2.14607315,-0.23935477,0.13066174,-0.15361529,-0.99211592
0.24000000,3,body4,-1.24334984,-2.15354509,-0.11952269,0.05504991,0.09534924,-0.49452480
0.24500000,0,body1,0.00318960,0.00552455,-0.00375202,0.02581697,0.04471631,-0.04410477
0.24500000,1,body2,2.47428809,0.00500327,-0.24431456,-0.20191124,0.03682017,-0.99180288
0.24500000,2,body3,-1.23281108,2.14529798,-0.24431456,0.13284283,-0.15645017,-0.99180288
0.24500000,3,body4,-1.24307181,-2.15306353,-0.12199486,0.05615992,0.09727184,-0.49434186
0.25000000,0,body1,0.00331996,0.00575034,-0.00397664,0.02632487,0.04559601,-0.04574412
0.25000000,1,body2,2.47326973,0.00518853,-0.24927279,-0.20542733,0.03727843,-0.99148481
0.25000000,2,body3,-1.23214147,2.14450868,-0.24927279,0.13499773,-0.15926607,-0.99148481
0.25000000,3,body4,-1.24278824,-2.15257238,-0.12446611,0.05726716,0.09918963,-0.49415831
0.25500000,0,body1,0.00345285,0.00598051,-0.00420950,0.02683159,0.04647368,-0.04740423
0.25500000,1,body2,2.47223387,0.00537604,-0.25422940,-0.20891382,0.03772360,-0.99116180
0.25500000,2,body3,-1.23146115,2.14370535,-0.25422940,0.13712651,-0.16206287,-0.99116181
0.25500000,3,body4,-1.24249914,-2.15207164,-0.12693644,0.05837151,0.10110243,-0.49397428
0.26000000,0,body1,0.00358827,0.00621507,-0.00445071,0.02733712,0.04734928,-0.04908457
0.26000000,1,body2,2.47118064,0.00556574,-0.25918440,-0.21237067,0.03815577,-0.99083392
0.26000000,2,body3,-1.23077025,2.14288809,-0.25918440,0.13922921,-0.16484051,-0.99083392
0.26000000,3,body4,-1.24220453,-2.15156136,-0.12940585,0.05947291,0.10301010,-0.49378987
0.26500000,0,body1,0.00372622,0.00645400,-0.00470038,0.02784144,0.04822278,-0.05078464
0.26500000,1,body2,2.47011021,0.00575757,-0.26413774,-0.21579786,0.03857504,-0.99050124
0.26500000,2,body3,-1.23006890,2.14205698,-0.26413774,0.14130590,-0.16759891,-0.99050125
0.26500000,3,body4,-1.24190442,-2.15104155,-0.13187434,0.06057125,0.10491248,-0.49360519
0.27000000,0,body1,0.00386668,0.00669729,-0.00495859,0.02834452,0.04909414,-0.05250391
0.27000000,1,body2,2.46902272,0.00595147,-0.26908940,-0.21919537,0.03898151,-0.99016384
0.27000000,2,body3,-1.22935723,2.14121213,-0.26908940,0.14335666,-0.17033801,-0.99016384
0.27000000,3,body4,-1.24159882,-2.15051225,-0.13434190,0.06166645,0.10680943,-0.49342036
0.27500000,0,body1,0.00400966,0.00694494,-0.00522545,0.02884634,0.04996333,-0.05424189
0.27500000,1,body2,2.46791831,0.00614737,-0.27403937,-0.22256321,0.03937529,-0.98982179
0.27500000,2,body3,-1.22863538,2.14035363,-0.27403937,0.14538161,-0.17305774,-0.98982179
0.27500000,3,body4,-1.24128776,-2.14997347,-0.13680854,0.06275843,0.10870079,-0.49323548
0.28000000,0,body1,0.00415515,0.00719692,-0.00550104,0.02934689,0.05083030,-0.05599808
0.28000000,1,body2,2.46679713,0.00634520,-0.27898761,-0.22590138,0.03975652,-0.98947515
0.28000000,2,body3,-1.22790346,2.13948158,-0.27898761,0.14738085,-0.17575807,-0.98947515
0.28000000,3,body4,-1.24097125,-2.14942525,-0.13927426,0.06384709,0.11058640,-0.49305065
0.28500000,0,body1,0.00430313,0.00745324,-0.00578546,0.02984614,0.05169503,-0.05777198
0.28500000,1,body2,2.46565934,0.00654491,-0.28393411,-0.22920992,0.04012531,-0.98912402
0.28500000,2,body3,-1.22716161,2.13859608,-0.28393411,0.14935450,-0.17843896,-0.98912402
0.28500000,3,body4,-1.24064930,-2.14886761,-0.14173905,0.06493235,0.11246613,-0.49286598
0.29000000,0,body1,0.00445360,0.00771387,-0.00607879,0.03034408,0.05255748,-0.05956310
0.29000000,1,body2,2.46450508,0.00674643,-0.28887884,-0.23248887,0.04048181,-0.98876845
0.29000000,2,body3,-1.22640996,2.13769723,-0.28887884,0.15130271,-0.18110037,-0.98876845
0.29000000,3,body4,-1.24032193,-2.14830060,-0.14420292,0.06601412,0.11433982,-0.49268155
0.29500000,0,body1,0.00460657,0.00797881,-0.00638112,0.03084068,0.05341763,-0.06137097
0.29500000,1,body2,2.46333450,0.00694971,-0.29382179,-0.23573829,0.04082614,-0.98840853
0.29500000,2,body3,-1.22564863,2.13678511,-0.29382179,0.15322562,-0.18374228,-0.98840853
0.29500000,3,body4,-1.23998916,-2.14772423,-0.14666587,0.06709233,0.11620732,-0.49249746
0.30000000,0,body1,0.00476201,0.00824804,-0.00669253,0.03133593,0.05427543,-0.06319511
0.30000000,1,body2,2.46214775,0.00715468,-0.29876292,-0.23895824,0.04115847,-0.98804432
0.30000000,2,body3,-1.22487774,2.13585984,-0.29876292,0.15512340,-0.18636467,-0.98804432
0.30000000,3,body4,-1.23965101,-2.14713853,-0.14912789,0.06816687,0.11806849,-0.49231379
0.30500000,0,body1,0.00491992,0.00852156,-0.00701310,0.03182982,0.05513087,-0.06503506
0.30500000,1,body2,2.46094497,0.00736127,-0.30370222,-0.24214881,0.04147893,-0.98767591
0.30500000,2,body3,-1.22409743,2.13492150,-0.30370222,0.15699621,-0.18896755,-0.98767591
0.30500000,3,body4,-1.23930750,-2.14654355,-0.15158900,0.06923768,0.11992319,-0.49213065
0.31000000,0,body1,0.00508031,0.00879935,-0.00734290,0.03232232,0.05598390,-0.06689034
0.31000000,1,body2,2.45972631,0.00756945,-0.30863967,-0.24531007,0.04178769,-0.98730336
0.31000000,2,body3,-1.22330782,2.13397019,-0.30863967,0.15884424,-0.19155091,-0.98730336
0.31000000,3,body4,-1.23895864,-2.14593931,-0.15404920,0.07030467,0.12177127,-0.49194810
0.31500000,0,body1,0.00524315,0.00908139,-0.00768202,0.03281342,0.05683451,-0.06876050
0.31500000,1,body2,2.45849192,0.00777913,-0.31357525,-0.24844214,0.04208490,-0.98692675
0.31500000,2,body3,-1.22250903,2.13300602,-0.31357525,0.16066766,-0.19411475,-0.98692675
0.31500000,3,body4,-1.23860446,-2.14532585,-0.15650849,0.07136776,0.12361259,-0.49176624
0.32000000,0,body1,0.00540844,0.00936769,-0.00803053,0.03330310,0.05768266,-0.07064511
0.32000000,1,body2,2.45724194,0.00799028,-0.31850893,-0.25154511,0.04237074,-0.98654615
0.32000000,2,body3,-1.22170119,2.13202908,-0.31850893,0.16246669,-0.19665909,-0.98654615
0.32000000,3,body4,-1.23824497,-2.14470320,-0.15896687,0.07242687,0.12544702,-0.49158514
0.32500000,0,body1,0.00557617,0.00965822,-0.00838850,0.03379135,0.05852833,-0.07254371
0.32500000,1,body2,2.45597651,0.00820282,-0.32344071,-0.25461911,0.04264535,-0.98616164
0.32500000,2,body3,-1.22088441,2.13103946,-0.32344071,0.16424151,-0.19918394,-0.98616164
0.32500000,3,body4,-1.23788020,-2.14407139,-0.16142434,0.07348192,0.12727442,-0.49140487
0.33000000,0,body1,0.00574635,0.00995297,-0.00875599,0.03427815,0.05937150,-0.07445587
0.33000000,1,body2,2.45469579,0.00841671,-0.32837054,-0.25766426,0.04290892,-0.98577328
0.33000000,2,body3,-1.22005881,2.13003727,-0.32837054,0.16599235,-0.20168934,-0.98577328
0.33000000,3,body4,-1.23751016,-2.14343047,-0.16388092,0.07453284,0.12909467,-0.49122551
0.33500000,0,body1,0.00591895,0.01025193,-0.00913308,0.03476349,0.06021213,-0.07638117
0.33500000,1,body2,2.45339992,0.00863189,-0.33329843,-0.26068070,0.04316162,-0.98538115
0.33500000,2,body3,-1.21922452,2.12902260,-0.33329843,0.16771941,-0.20417530,-0.98538115
0.33500000,3,body4,-1.23713487,-2.14278046,-0.16633660,0.07557955,0.13090762,-0.49104712
0.34000000,0,body1,0.00609398,0.01055508,-0.00951982,0.03524735,0.06105021,-0.07831918
0.34000000,1,body2,2.45208903,0.00884831,-0.33822435,-0.26366857,0.04340362,-0.98498531
0.34000000,2,body3,-1.21838166,2.12799555,-0.33822435,0.16942293,-0.20664187,-0.98498532
